timestamp_iso,level,source,message
"2026-02-02T21:21:04","INFO","INFO","- User login successful"
"2026-02-02T21:21:04","INFO","db-service","Retrying request"
"2026-02-02T21:21:07","WARN","db-service","Login failed due to invalid password"
"2026-02-02T21:21:08","DEBUG","payment-service","Database timeout occurred"
"2026-02-02T21:21:08","ERROR","db-service","Retrying request"
"2026-02-02T21:21:08","ERROR","ERROR","- User login successful"
"2026-02-02T21:21:11","DEBUG","DEBUG","- Retrying request"
"2026-02-02T21:21:12","INFO","db-service","Retrying request"
"2026-02-02T21:21:12","WARN","auth-service","Login failed due to invalid password"
"2026-02-02T21:21:16","ERROR","ERROR","- Connection closed unexpectedly"
"2026-02-02T21:21:18","INFO","payment-service","Connection closed unexpectedly"
"2026-02-02T21:21:21","WARN","auth-service","Connection closed unexpectedly"
"2026-02-02T21:21:23","WARN","WARN","- User login successful"
"2026-02-02T21:21:27","ERROR","ERROR","- Connection closed unexpectedly"
"2026-02-02T21:21:28","ERROR","ERROR","- Login failed due to invalid password"
"2026-02-02T21:21:32","INFO","db-service","Connection closed unexpectedly"
"2026-02-02T21:21:35","INFO","INFO","- Login failed due to invalid password"
"2026-02-02T21:21:36","DEBUG","DEBUG","- Database timeout occurred"
"2026-02-02T21:21:36","INFO","INFO","- Retrying request"
"2026-02-02T21:21:37","DEBUG","payment-service","User login successful"
"2026-02-02T21:21:39","ERROR","payment-service","Database timeout occurred"
"2026-02-02T21:21:40","DEBUG","payment-service","User login successful"
"2026-02-02T21:21:40","INFO","INFO","- Database timeout occurred"
"2026-02-02T21:21:41","DEBUG","db-service","Login failed due to invalid password"
"2026-02-02T21:21:42","DEBUG","DEBUG","- Login failed due to invalid password"
"2026-02-02T21:21:44","INFO","db-service","Connection closed unexpectedly"
"2026-02-02T21:21:45","WARN","WARN","- Database timeout occurred"
"2026-02-02T21:21:46","DEBUG","DEBUG","- Connection closed unexpectedly"
"2026-02-02T21:21:50","ERROR","db-service","Login failed due to invalid password"
"2026-02-02T21:21:51","INFO","INFO","- User login successful"
"2026-02-02T21:21:51","WARN","WARN","- User login successful"
"2026-02-02T21:21:53","ERROR","auth-service","Login failed due to invalid password"
"2026-02-02T21:21:54","WARN","db-service","Retrying request"
"2026-02-02T21:21:54","ERROR","api-gateway","User login successful"
"2026-02-02T21:21:54","INFO","api-gateway","Database timeout occurred"
"2026-02-02T21:21:55","INFO","payment-service","Connection closed unexpectedly"
"2026-02-02T21:21:55","DEBUG","payment-service","Connection closed unexpectedly"
